week_ending,pct_deaths_influenza
2024-10-05,0.06
2024-10-12,0.05
2024-10-19,0.05
2024-10-26,0.04
2024-11-02,0.06
2024-11-09,0.07
2024-11-16,0.05
2024-11-23,0.1
2024-11-30,0.12
2024-12-07,0.14
2024-12-14,0.26
2024-12-21,0.37
2024-12-28,0.66
2025-01-04,1.17
2025-01-11,1.42
2025-01-18,1.46
2025-01-25,1.72
2025-02-01,2.18
2025-02-08,2.58
2025-02-15,2.77
2025-02-22,2.64
2025-03-01,2.23
2025-03-08,1.82
2025-03-15,1.4
2025-03-22,1.12
2025-03-29,0.81
2025-04-05,0.57
2025-04-12,0.4
2025-04-19,0.29
2025-04-26,0.22
2025-05-03,0.17
2025-05-10,0.14
2025-05-17,0.12
2025-05-24,0.08
2025-05-31,0.1
2025-06-07,0.09
2025-06-14,0.09
2025-06-21,0.06
2025-06-28,0.07
2025-07-05,0.05
2025-07-12,0.08
2025-07-19,0.04
2025-07-26,0.04
2025-08-02,0.03
2025-08-09,0.04
2025-08-16,0.03
2025-08-23,0.04
2025-08-30,0.04
2025-09-06,0.04
2025-09-13,0.04
2025-09-20,0.05
2025-09-27,0.04
2025-10-04,0.03
2025-10-11,0.04
2025-10-18,0.04
2025-10-25,0.05
2025-11-01,0.06
2025-11-08,0.06
2025-11-15,0.09
2025-11-22,0.11
2025-11-29,0.13
2025-12-06,0.23
2025-12-13,0.32
2025-12-20,0.51
2025-12-27,1.03
2026-01-03,1.81
2026-01-10,1.93
2026-01-17,1.66
2026-01-24,1.26
2026-01-31,1.1
2026-02-07,0.99
2026-02-14,0.85
2026-02-21,0.84
2026-02-28,0.7
2026-03-07,0.59
2026-03-14,0.46
2026-03-21,0.33
2026-03-28,0.27
2026-04-04,0.28
2026-04-11,0.16
2026-04-18,0.15
2026-04-25,0.11
2026-05-02,0.08
2026-05-09,0.07
2026-05-16,0.06
2026-05-23,0.07
2026-05-30,0.07
2026-06-06,0.06
2026-06-13,0.04
2026-06-20,0.03
2026-06-27,0.04
2026-07-04,0.06
